date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2025-05-16,,-0.0202,amc,1,,,DSX,2025
2025-05-16,,,,1,,,PDIV,2025
2025-05-16,,1.2272,bmo,3,,390677595.0,BRC,2025
2025-05-16,,0.101,,1,,48205280.0,MHH,2025
2025-05-16,,,,1,,,EMYB,2025
2025-05-16,,2.7284,amc,4,,444660408.0,RBC,2025
2025-05-16,,0.0204,bmo,1,,54646245.0,CDRO,2025
2025-05-16,,0.3832,amc,1,,1618337776.0,FLO,2025
2025-05-15,,0.1405,amc,1,,333453595.0,CAVA,2025
2025-05-15,,,,1,,,FSEN,2025
2025-05-15,,-0.0918,amc,1,,29682000.0,ORGN,2025
2025-05-15,,-0.101,amc,1,,8484000.0,FLD,2025
2025-05-15,,0.0714,bmo,1,,281968.0,SNYR,2025
2025-05-15,,,,1,,,GOAI,2025
2025-05-15,,,,3,,,LBUY,2025
2025-05-15,,0.1717,,1,,771018850.0,RLX,2025
2025-05-15,,,,1,,,VTDRF,2025
2025-05-15,,,,1,,,NITO,2025
2025-05-15,,,,1,,,OLVI,2025
2025-05-15,,-1.3362,bmo,1,,3979020.0,JTAI,2025
2025-05-15,,,,4,,,AVRW,2024
2025-05-15,,-0.1608,amc,1,,121635000.0,GOGL,2025
2025-05-15,,0.0918,amc,3,,6120000.0,TRAK,2025
2025-05-15,,-0.051,amc,1,,102000.0,QUBT,2025
2025-05-15,,-0.0202,amc,1,,38655730.0,WYY,2025
2025-05-15,,0.0,amc,3,,22826000.0,IPW,2025
2025-05-15,,-2.738,amc,1,,408000.0,SPCE,2025
2025-05-15,,-0.1836,amc,1,,4386000.0,DUOT,2025
2025-05-15,,1.1197,amc,4,,1581459000.0,TTWO,2025
2025-05-15,,-1.2359,bmo,1,,1118188770.0,CSIQ,2025
2025-05-15,,-0.3876,,1,,0.0,BPTH,2025
2025-05-15,,-0.0204,amc,1,,102000.0,SCWO,2025
2025-05-15,,,,1,,,TLGYF,2025
2025-05-15,,-0.1,bmo,1,,5294310.0,ONDS,2025
2025-05-15,,0.2521,bmo,1,,40866300.0,GAMB,2025
2025-05-15,,0.278,amc,4,,136704704.0,DOCS,2025
2025-05-15,,,,1,,,PNRG,2025
2025-05-15,,,,1,,,RMSL,2025
2025-05-15,,-14.3616,bmo,1,,14271330.0,VERO,2025
2025-05-15,,-0.1979,bmo,1,,5956800.0,MRSN,2025
2025-05-15,,,,1,,,ILAL,2025
2025-05-15,,-0.3876,,1,,5868570.0,LFWD,2025
2025-05-15,,0.0347,amc,1,,7379088.0,SRTS,2025
2025-05-15,,,,1,,,LVVV,2025
2025-05-15,,,,1,,,ISRL,2025
2025-05-15,,,,1,,,FGNV,2025
2025-05-15,,-0.9848,amc,4,,0.0,REE,2024
2025-05-15,,0.0408,bmo,1,,27744000.0,IMPP,2025
2025-05-15,,,,1,,,JKSM,2025
2025-05-15,,0.2244,bmo,1,,1455557340.0,GOTU,2025
2025-05-15,,,,4,,,PPYA,2024
2025-05-15,,,,4,,,NRBT,2024
2025-05-15,,,,1,,,DGLY,2025
2025-05-15,,-0.306,bmo,1,,10200.0,IPWR,2025
2025-05-15,,2.357,amc,2,,7265550912.0,AMAT,2025
2025-05-15,,-0.3162,bmo,1,,71038236.0,BTDR,2025
2025-05-15,,,,1,,,AREN,2025
2025-05-15,,0.5828,bmo,1,,167518901394.0,WMT,2026
2025-05-15,,,,1,,,PORT,2025
2025-05-15,,,,1,,,SOAR,2025
2025-05-15,,,,1,,,WELNF,2025
2025-05-15,,0.0286,amc,4,,295294080.0,MNRO,2025
2025-05-15,,0.2081,bmo,1,,1394535280.0,DAO,2025
2025-05-15,,0.153,amc,3,,16461780.0,LGCY,2025
2025-05-15,,-0.0988,,1,,941356510.0,AZUL,2025
2025-05-15,,-0.5763,,1,,0.0,CTNM,2025
2025-05-15,,,,1,,,TSSI,2025
2025-05-15,,-0.3333,,1,,2878500.0,SLE,2025
2025-05-15,,5.7474,bmo,2,,11115736062.0,DE,2025
2025-05-15,,-0.0153,amc,1,,2907000.0,KULR,2025
2025-05-15,,-0.5916,amc,1,,2040000.0,ACOG,2025
2025-05-15,,14.2559,bmo,1,,29056481623.0,NTES,2025
2025-05-15,,0.102,bmo,1,,8466000.0,DTST,2025
2025-05-15,,,,1,,,FINV,2025
2025-05-15,,0.9112,bmo,1,,463182162.0,MRX,2025
2025-05-15,,13.2007,bmo,4,,241988706263.0,BABA,2025
2025-05-15,,,,3,,,MITQ,2025
2025-05-15,,,,1,,,ELTK,2025
2025-05-15,,,amc,1,,,SRXH,2025
2025-05-15,,0.0934,bmo,1,,153189730.0,BTM,2025
2025-05-15,,,,1,,,FBYD,2025
2025-05-15,,-0.1549,amc,1,,957146.0,QSI,2025
2025-05-15,,20.0603,amc,1,,5547972086.0,BAP,2025
2025-05-15,,,,1,,,BTCT,2025
2025-05-15,,,,1,,,GTEC,2025
2025-05-15,,-0.0816,amc,1,,229500.0,RNXT,2025
