conversation_id,agent_id,date_time,first_response_time,average_response_time,duration,The sentiment of the last message score
"17,031,898",677,"September 2, 2021, 11:39 PM",13.4,16.37,165.54,-1
"17,032,548",677,"September 2, 2021, 11:45 PM",8.25,11.28,111.6,2
"17,018,365",679,"September 2, 2021, 9:51 PM",44.33,24.01,325.5,1
"17,019,288",679,"September 2, 2021, 10:03 PM",13.4,35.48,132.99,1
"17,019,652",679,"September 2, 2021, 10:05 PM",8.25,28.14,370.14,0
"17,020,978",679,"September 2, 2021, 10:14 PM",7.22,16.05,389.67,2
"17,021,537",679,"September 2, 2021, 10:18 PM",12.37,9.49,338.52,2
"17,022,122",679,"September 2, 2021, 10:22 PM",15.46,19.59,411.99,0
"17,028,245",679,"September 2, 2021, 11:04 PM",10.31,16.21,556.14,-2
"17,029,987",685,"September 2, 2021, 11:18 PM",7.22,15.33,244.59,-2
"17,030,585",685,"September 2, 2021, 11:24 PM",16.49,12.57,181.35,1
"17,032,522",685,"September 2, 2021, 11:44 PM",8.25,17.8,144.15,0
"16,983,733",685,"September 2, 2021, 12:01 AM",5.15,18.36,84.63,1
"16,985,241",701,"September 2, 2021, 12:16 AM",7.22,7.51,131.13,0
"16,986,138",701,"September 2, 2021, 12:27 AM",11.34,17.8,108.81,2
"16,986,658",719,"September 2, 2021, 12:34 AM",7.22,8.69,364.56,1
"16,987,776",719,"September 2, 2021, 12:52 AM",7.22,9.93,259.47,2
"17,003,259",719,"September 2, 2021, 4:55 PM",13.4,16.67,182.28,-2
